t,id,output
0, 2, 1.4368633519391985
0, 8, 0.2725429355229325
0, 14, 0.1635544821148641
0, 16, 1.026680829410351
0, 18, 1.134605112566149
0, 28, 0.8192247561236428
0, 30, 0.6229290704310597
0, 34, 0.39848344917000644
0, 36, 1.1773050954577036
0, 46, 0.06801540225515278
0, 48, 0.6708536596309899
0, 54, 0.03957428187183445
0, 58, 0.962636910397245
0, 60, 0.0322649891430411
0, 66, 0.2536166875185573
0, 68, 0.24990477853409215
0, 74, 0.7914024999673634
0, 80, 1.431117379333318
0, 86, 0.5582878680706119
0, 90, 1.3195911190033318
0, 94, 0.13038902180733294
0, 100, 0.6962367347495982
0, 110, 0.7858277433694596
0, 118, 0.6213453736923283
0, 120, 1.1137661731647204
0, 124, 1.3009561725742267
0, 130, 0.7085029329803122
0, 132, 0.018407523802042112
0, 136, 1.2164505402151289
0, 138, 0.43186306586340434
0, 140, 0.3517157521557361
0, 144, 0.00964516147234368
0, 146, 0.2814046737562034
0, 148, 1.0994984515657795
0, 152, 0.9910229308079994
0, 156, 0.13295244255575828
0, 166, 0.6949781544276767
0, 174, 0.5724011639326532
0, 178, 1.0605636777681153
0, 188, 1.106216524691021
0, 190, 0.7820816804479788
0, 194, 0.34997511102397216
0, 196, 0.25551905032394134
0, 200, 0.7738884635898459
0, 204, 1.1585872060674445
0, 210, 0.6904042633056269
0, 214, 0.9681378875698354
0, 218, 1.2007730365693818
0, 220, 0.16371773975713266
0, 234, 1.2365744081690506
0, 236, 0.9441381042363601
0, 238, 0.5962595750867132
0, 240, 0.12786621785900731
0, 242, 0.43278131047121393
0, 248, 0.5133437395642938
0, 254, 0.40648564008343746
0, 256, 0.06777462908373463
0, 258, 0.9146286012340918
0, 260, 1.0479332652837916
0, 262, 0.7994411886733159
0, 270, 0.1578367459238589
0, 272, 0.5143179360927433
0, 280, 1.2186900655395765
0, 286, 0.20357430470364865
0, 288, 0.18925262603734938
0, 290, 1.2100189112361817
0, 292, 0.4695153311273736
0, 294, 0.19375084958743977
0, 296, 0.9085231561686322
0, 298, 1.3491588813965985
0, 308, 1.018425714292535
0, 310, 0.12137703695508875
0, 312, 0.9862859806863211
0, 314, 1.103721381196572
0, 316, 0.34114056433793893
0, 318, 0.6184317499224565
0, 320, 0.820844752541998
0, 322, 1.3466889700270568
0, 328, 1.3082241071515424
0, 336, 0.7159166932606229
0, 340, 1.2578278912213643
0, 344, 0.7711807879596786
0, 350, 0.12894314158929318
0, 352, 0.5207194603171743
0, 354, 0.3316466470836371
0, 358, 0.15290155153089063
0, 364, 0.3962622679082477
0, 372, 0.3811938980617804
0, 374, 0.2811356890699977
0, 380, 0.014670035446112922
0, 386, 1.2607208223075408
0, 390, 0.3558047302240947
0, 392, 0.04603856377573744
0, 398, 0.6794442576199916
0, 400, 0.45470590996773
0, 402, 0.7405231802447358
0, 408, 0.9497956586295234
0, 410, 1.2796139945088107
0, 412, 0.5832505594252605
0, 414, 1.2862397065238722
0, 428, 0.68553539534589
0, 430, 0.3507275388786173
0, 434, 0.6006884255762089
0, 438, 1.629651618568872
0, 440, 0.7859326914473265
0, 442, 0.7550531468841735
0, 444, 1.0399915852274748
0, 454, 1.00911803954241
0, 456, 0.9129245532370551
0, 458, 1.1424978881652375
0, 460, 0.49785968415040643
0, 462, 1.4841953324935662
0, 464, 1.3433042327457452
0, 470, 0.7319204107980588
0, 478, 1.0540417177341768
0, 484, 0.8357617044136084
0, 486, 0.3116368131983487
0, 490, 0.05341273697997431
0, 492, 0.5468376400422632
0, 496, 0.11401043492142995
0, 500, 0.27906682306728736
0, 512, 1.2161738866054954
0, 514, 0.9202926621814639
0, 518, 0.35967016247468175
0, 520, 0.14238414908713948
0, 522, 0.41943384619325574
0, 526, 0.40733688451007505
0, 532, 0.4269091442444285
0, 536, 1.1957461008141546
0, 544, 0.40454227204866783
0, 548, 0.971749321026678
0, 550, 1.4095553633164553
0, 554, 1.1537519878967353
0, 558, 0.5314212070339243
0, 568, 0.4084928169850346
0, 572, 1.3137892396658852
0, 574, 0.12559442691893513
0, 580, 0.3421370321329695
0, 582, 0.7384334413482041
0, 586, 0.2775336003866063
0, 602, 1.3155555739955593
0, 604, 1.0753337626470212
0, 606, 0.2041964470168067
0, 608, 0.9451580524061214
0, 612, 0.1186209537154353
0, 614, 0.8481225080682226
0, 618, 1.0160961860555264
0, 626, 0.623044370456457
0, 628, 0.19252014266620615
0, 632, 0.03404357579236251
0, 634, 0.8341351907125736
0, 638, 1.5366694815209763
0, 644, 0.10783745555073795
0, 646, 0.0694670577703619
0, 648, 1.2550028139528915
0, 650, 1.2425659431016962
0, 652, 0.6349467351420998
0, 654, 0.3087178179792214
0, 658, 0.24743250147973164
0, 670, 1.4055671070375713
0, 676, 0.10424304104995318
0, 682, 0.8110722762442393
0, 684, 0.0040141249194721226
0, 688, 1.0154491698657009
0, 690, 0.02963206667464035
0, 692, 1.7829925700898586
0, 704, 1.270969181064463
0, 710, 0.19766580547613688
0, 712, 1.0386594991892584
0, 720, 0.22160870422597523
0, 722, 0.7868697790657989
0, 726, 0.7542449491394259
0, 728, 0.23432577046696484
0, 730, 0.15188857354173685
0, 742, 0.5440649519358379
