t,id,age,number_employees,total_effort,output
0, 6, 1,1,0.7435946731232413,0.8329144268675794
0, 8, 1,1,0.7872399091900201,1.133173517073916
0, 12, 1,1,0.9991271450822738,1.4449045677032144
0, 14, 1,1,0.9878186817984432,1.4398158451807204
0, 16, 1,1,0.9118743129669119,1.077956381269573
0, 20, 1,1,0.4513964286884599,0.3213456874734109
0, 21, 1,1,0.6648478540490809,0.7023798460926688
0, 22, 1,1,0.3858273376766701,0.248685395436308
0, 23, 1,1,0.3901068802850106,0.2926492813005991
0, 24, 1,1,0.3969228872783808,0.40046691724018735
1, 6, 2,1,0.980163584255792,1.2702178436714608
1, 8, 2,1,0.9982191262793787,1.5853569278124775
1, 12, 2,5,1.0176389323254347,1.4894057419530522
1, 14, 2,2,0.49604648594818873,0.5257083057573597
1, 21, 2,1,0.8226272130837967,0.962947205427716
2, 12, 3,8,3.2997731644930037,10.83408467798815
2, 25, 1,1,0.6855587161791497,0.9230634614203519
2, 26, 1,1,0.8105200491592535,1.1803263530825816
3, 12, 4,9,1.993298993457258,4.590242471747097
3, 27, 1,1,0.9888340791073528,1.4239268914425398
4, 12, 5,8,1.8745017384100202,4.13715143646856
4, 28, 1,1,0.9991536906463607,0.8523833478897571
4, 29, 1,1,0.8927069652048935,0.8224196704445669
5, 12, 6,8,2.2675947988347014,5.711991309767534
5, 30, 1,1,0.8209770677822066,0.9954333970045877
5, 31, 1,1,0.9871117813770416,1.0304625490719286
6, 12, 7,9,2.4983953266261363,6.73573323122385
6, 32, 1,1,0.9990474588209514,1.257064365770325
7, 12, 8,8,1.6887196028645426,3.469192962799282
7, 33, 1,1,0.9893699407826846,0.95962024470117
7, 34, 1,1,0.9059061599497629,0.9809738671990562
8, 12, 9,8,2.3148973508848716,5.915927133294453
8, 35, 1,1,0.8113427695050021,0.9385818276876589
8, 36, 1,1,0.9989680253272015,1.3046802351873534
9, 12, 10,9,2.508997998751364,6.784485379300912
9, 37, 1,1,0.9886700322595854,1.1065669902438995
10, 12, 11,9,2.376917627309583,6.1879274021044965
10, 38, 1,1,0.9991648691725491,1.075991070422932
11, 12, 12,8,1.7265464967566,3.601131547839495
11, 39, 1,1,0.9882966587813684,1.1449503359805517
11, 40, 1,1,0.8837062029547965,1.0703991577370056
12, 12, 13,8,2.456304100202905,6.543677266498291
12, 41, 1,1,0.7514182935203646,0.8537345213173286
12, 42, 1,1,0.9989671456789536,1.5773960534406783
13, 12, 14,8,1.6647311214174931,3.386609193549899
13, 43, 1,1,0.9875412231796387,1.1074236222260236
13, 44, 1,1,0.8965350807381998,1.1976631805224396
